Date,Close,High,Low,Open,Volume,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
2025-08-15,783.3901977539062,794.3843975355859,778.9905571139482,782.3127720209482,13375400,63.17311239499952,20.121916828058602,2.6761550766297475,17.445761751428854,678.6660236853301,745.3190948486327,811.9721660119354,17.8857811705037,0.7855915131952268
2025-08-18,765.572021484375,773.9922487170201,754.7873521125813,773.2739649293972,16513700,56.41621303613204,18.634640532649428,0.951103024976458,17.68353750767297,682.8074950119958,748.0327239990235,813.2579529860511,17.439137859726255,0.6344517892673083
2025-08-19,749.7192993164062,765.3725408429555,747.6042712449723,765.3226701689615,12286700,51.172081899803445,15.992430378600375,-1.352885703258078,17.345316081858453,688.6503380911485,750.3607574462891,812.0711768014297,16.44820008049471,0.49480267565359365
2025-08-20,745.968017578125,748.4422481947564,729.2872227778392,745.8184055724877,11898200,49.98796231469109,13.440825243130917,-3.1235926709820276,16.564417914112944,692.9981899904694,752.063754272461,811.1293185544525,15.707594986845496,0.44839855702356757
2025-08-21,737.3682250976562,743.7532539146816,731.392269728463,742.965126847803,8876300,47.2865370312748,10.602509281080415,-4.769526906426025,15.37203618750644,696.6294762040714,753.2759033203125,809.9223304365537,15.04002102458165,0.3595879825746736
2025-08-22,753.021484375,755.1265868650723,732.6693186706706,737.4979443181139,10612700,52.33572994157678,9.506624190132811,-4.692329597898905,14.198953788031716,702.3277233522639,755.3764709472657,808.4252185422675,14.045644691176847,0.47780356107325334
2025-08-25,751.5350341796875,757.1019774988098,748.372478420576,753.0514923621954,6861200,51.828043578360116,8.421109938737231,-4.622275079435589,13.04338501817282,707.3896447168189,757.155795288086,806.9219458593531,13.145550989894183,0.44352827128602873
2025-08-26,752.3331298828125,753.1013452690629,746.187589469264,749.0408739151204,7601800,52.09673365873498,7.538334499417488,-4.404040415004268,11.942374914421755,718.3439727306929,759.8544586181641,801.3649445056353,10.925904406209636,0.4094044724537693
2025-08-27,745.62890625,752.3830637406979,741.0995653139147,750.5373617239242,8315400,49.59427397900064,6.225984512154241,-4.573112321814012,10.799096833968253,733.9516913807337,762.4568481445312,790.9620049083288,7.477185583201461,0.20482635766621612
2025-08-28,749.3501586914062,751.2856157691724,739.0643171271723,742.2568318080029,7468000,51.001187716211,5.423690733844751,-4.3003248800988025,9.724015613943553,732.6066034452224,761.3429656982422,790.079327951262,7.548861301073466,0.29133045962392695
2025-08-29,736.96923828125,745.3894657992533,733.6270507950396,743.5338383928589,9070500,46.36436594263898,3.7456527752839293,-4.7826902709277,8.52834304621163,730.5557359162974,760.7787902832031,791.0018446501088,7.945293626194551,0.106102816199401
2025-09-02,733.3875732421875,734.2755025264773,720.0389186102121,724.3388175548104,9350900,45.087306467704714,2.10254830007284,-5.140635796911033,7.243184096983873,726.8832326555439,758.7206207275391,790.5580087995343,8.392387712216449,0.10214940641385317
2025-09-03,735.3230590820312,738.5155735710689,732.2702311831985,734.2755314397929,7699300,45.95363575489483,0.9456528004496931,-5.038025037227344,5.983677837677037,723.9408377964709,757.4032135009766,790.8655892054823,8.836079675403317,0.17007491318119064
2025-09-04,746.8959350585938,759.3765729399474,744.0725487076684,746.8161054490425,11439100,50.93780944583834,0.9516689079869138,-4.025607143752099,4.977276051739013,723.0291335307428,756.2389526367188,789.4487717426947,8.78289037881106,0.3593335069319338
2025-09-05,750.68701171875,756.1741251448537,743.2844139282448,750.8565963566639,9663400,52.4836879604717,1.2479592225886336,-2.983453463320304,4.231412685908937,722.5233489588172,755.7710540771484,789.0187591954796,8.798353665166243,0.42354295822367455
